quote_id,lead_id,dealer_id,carrier,monthly_premium,quoted_at
98,197,47,In-House Agency,126.37,2025-08-30 12:35:00
99,200,32,In-House Agency,212.51,2025-11-26 10:58:00
100,202,27,Carrier B,108.0,2025-03-15 18:42:00
101,203,59,In-House Agency,250.27,2025-09-05 16:18:00
102,204,59,Carrier B,265.91,2025-02-21 09:23:00
103,206,6,Carrier A,231.9,2025-12-04 19:10:00
104,207,7,In-House Agency,294.0,2025-09-28 16:36:00
105,211,47,Carrier B,225.11,2025-02-10 17:38:00
106,212,51,In-House Agency,176.72,2025-08-23 17:18:00
107,214,48,Carrier A,123.49,2025-07-21 10:27:00
108,215,36,Carrier B,280.7,2025-09-24 08:18:00
109,216,50,Carrier A,124.85,2025-02-16 12:17:00
110,217,5,Carrier A,249.99,2025-03-29 15:38:00
111,219,52,In-House Agency,138.18,2025-06-22 13:11:00
112,220,21,Carrier B,270.55,2025-06-02 14:23:00
113,221,12,In-House Agency,109.87,2025-12-18 14:43:00
114,225,39,In-House Agency,104.52,2025-11-28 18:43:00
115,226,49,In-House Agency,219.81,2025-06-23 17:14:00
116,229,10,Carrier B,250.23,2025-06-28 15:20:00
117,230,22,Carrier A,166.16,2025-12-02 14:29:00
118,233,37,Carrier B,208.46,2025-02-27 18:20:00
119,234,40,In-House Agency,267.13,2025-07-25 17:37:00
120,235,20,In-House Agency,177.5,2025-03-02 10:31:00
121,236,45,In-House Agency,106.53,2025-11-30 13:00:00
122,237,13,Carrier B,200.07,2025-07-21 09:36:00
123,239,32,In-House Agency,271.86,2025-10-11 08:48:00
124,243,40,In-House Agency,170.43,2025-11-20 12:38:00
125,244,21,Carrier A,308.38,2025-06-02 18:08:00
126,245,9,In-House Agency,152.77,2025-05-12 14:24:00
127,248,41,Carrier A,201.36,2025-12-10 13:53:00
128,250,30,Carrier A,309.07,2025-01-12 10:56:00
129,253,28,Carrier A,206.68,2025-12-06 15:00:00
130,254,9,Carrier B,284.41,2025-09-04 10:24:00
131,257,59,In-House Agency,251.95,2025-07-30 13:27:00
132,259,45,Carrier B,158.54,2025-01-19 08:50:00
133,260,16,Carrier B,295.79,2025-09-11 10:24:00
134,261,37,Carrier A,97.97,2025-08-08 11:02:00
135,262,51,Carrier B,112.72,2025-07-28 16:34:00
136,263,18,In-House Agency,259.09,2025-02-16 18:43:00
137,264,20,Carrier A,192.47,2025-08-15 17:03:00
138,265,46,Carrier B,130.9,2025-03-17 10:47:00
139,266,18,In-House Agency,229.92,2025-03-07 15:29:00
140,267,4,In-House Agency,250.4,2025-09-17 11:47:00
141,268,3,In-House Agency,267.67,2025-01-07 19:47:00
142,271,3,Carrier A,174.32,2025-07-28 12:36:00
143,273,47,In-House Agency,283.6,2025-10-12 13:00:00
144,277,26,Carrier B,294.1,2025-02-10 14:44:00
145,279,38,Carrier B,302.4,2025-03-01 11:28:00
146,280,52,Carrier A,114.61,2025-12-20 11:22:00
147,281,12,Carrier A,267.84,2025-01-19 10:07:00
148,285,28,Carrier B,155.17,2025-07-23 10:02:00
149,286,40,Carrier B,124.51,2025-05-08 11:41:00
150,288,23,Carrier A,100.6,2025-09-05 17:14:00
151,289,23,In-House Agency,107.02,2025-10-31 11:36:00
152,292,37,In-House Agency,142.04,2025-04-08 16:30:00
153,297,60,Carrier B,122.38,2025-11-16 19:00:00
154,301,57,Carrier A,249.89,2025-06-23 08:24:00
155,302,27,In-House Agency,234.96,2025-03-30 18:14:00
156,304,36,Carrier A,225.57,2025-02-22 14:10:00
157,305,45,Carrier A,105.67,2025-10-12 17:35:00
158,307,39,Carrier B,276.41,2025-09-03 12:50:00
159,308,35,Carrier B,194.99,2025-07-20 11:53:00
160,312,3,Carrier A,299.05,2025-09-18 10:13:00
161,314,41,In-House Agency,165.12,2025-03-20 12:33:00
162,315,56,In-House Agency,221.41,2025-01-08 09:59:00
163,316,23,Carrier B,181.64,2025-07-31 17:38:00
164,317,26,Carrier B,287.86,2025-01-23 08:21:00
165,320,39,Carrier B,271.52,2025-12-01 16:50:00
166,321,55,Carrier B,105.87,2025-09-26 13:45:00
167,322,41,In-House Agency,213.54,2025-03-08 13:10:00
168,330,31,In-House Agency,299.72,2025-02-07 18:19:00
169,331,55,Carrier B,150.78,2025-11-07 14:25:00
170,332,46,In-House Agency,283.45,2025-04-25 10:18:00
171,333,36,Carrier B,185.4,2025-04-09 13:23:00
172,336,10,Carrier A,262.47,2025-03-17 15:21:00
173,338,11,Carrier B,187.24,2025-10-26 15:24:00
174,340,15,Carrier A,159.11,2025-06-26 12:29:00
175,342,32,Carrier A,252.83,2025-07-04 17:32:00
176,343,41,Carrier A,243.3,2025-05-11 14:28:00
177,346,7,In-House Agency,137.95,2025-09-20 12:53:00
178,347,13,In-House Agency,295.62,2025-07-04 13:15:00
179,349,7,Carrier A,278.23,2025-05-13 13:51:00
180,350,28,Carrier A,165.66,2025-03-06 15:39:00
181,355,57,In-House Agency,162.56,2025-03-10 19:55:00
182,356,50,In-House Agency,115.48,2025-10-28 18:46:00
183,358,55,Carrier A,203.99,2025-09-13 16:41:00
184,359,52,In-House Agency,235.48,2025-10-24 09:25:00
185,360,36,In-House Agency,139.47,2025-10-13 18:29:00
186,363,1,Carrier A,287.83,2025-06-24 15:08:00
187,365,26,Carrier A,294.22,2025-04-24 18:37:00
188,367,54,Carrier A,178.29,2025-10-28 17:38:00
189,368,33,Carrier B,192.36,2025-07-18 10:08:00
190,371,59,Carrier B,247.73,2025-12-16 13:35:00
191,375,45,In-House Agency,253.99,2025-06-05 11:47:00
192,377,60,Carrier B,138.66,2025-07-20 15:53:00
193,378,48,Carrier A,135.2,2025-11-10 10:47:00
194,383,34,Carrier A,237.62,2025-02-05 13:23:00
195,386,8,In-House Agency,267.61,2025-07-19 15:31:00
196,388,14,In-House Agency,283.91,2025-12-14 19:49:00
197,389,53,Carrier A,106.67,2025-02-06 12:35:00
198,390,29,In-House Agency,249.86,2025-11-19 09:48:00
199,397,20,In-House Agency,125.63,2025-04-23 10:14:00
200,399,36,In-House Agency,219.83,2025-08-26 13:22:00
201,401,45,Carrier A,263.92,2025-10-29 19:47:00
202,402,18,Carrier B,213.61,2025-07-06 10:41:00
203,407,38,In-House Agency,146.36,2025-05-29 17:43:00
204,408,12,Carrier A,142.05,2025-10-19 15:14:00
205,412,58,Carrier B,265.42,2025-02-11 17:00:00
206,413,9,Carrier A,172.88,2025-08-15 19:52:00
207,415,27,Carrier A,286.52,2025-01-16 10:03:00
208,416,41,Carrier B,131.67,2025-01-13 14:38:00
209,419,33,In-House Agency,103.39,2025-12-21 16:32:00
210,420,6,In-House Agency,187.77,2025-09-09 14:23:00
211,422,48,Carrier B,223.63,2025-10-22 16:26:00
212,423,8,Carrier A,128.28,2025-09-26 18:37:00
213,426,50,Carrier A,116.56,2025-07-28 16:25:00
214,427,52,Carrier A,267.94,2025-10-14 10:30:00
215,428,28,Carrier B,227.0,2025-02-18 16:18:00
216,432,6,In-House Agency,246.28,2025-05-22 09:35:00
217,433,18,Carrier B,203.84,2025-04-27 16:04:00
218,435,25,Carrier A,198.62,2025-10-20 12:04:00
219,436,23,In-House Agency,271.53,2025-09-27 09:35:00
220,442,58,Carrier A,106.64,2025-10-26 14:30:00
221,444,45,Carrier A,164.97,2025-09-27 17:55:00
222,445,31,Carrier B,278.68,2025-11-12 12:28:00
223,447,48,In-House Agency,209.81,2025-03-23 13:50:00
224,448,17,Carrier B,275.38,2025-10-17 09:28:00
225,449,17,In-House Agency,302.07,2025-07-06 11:36:00
226,456,9,Carrier B,117.15,2025-05-02 09:59:00
227,457,36,Carrier A,235.79,2025-01-29 14:19:00
228,459,56,In-House Agency,133.06,2025-09-06 17:29:00
229,461,31,Carrier B,97.27,2025-10-05 16:52:00
230,462,9,Carrier B,96.96,2025-06-29 14:51:00
231,464,25,In-House Agency,242.2,2025-07-17 12:41:00
232,465,52,Carrier B,227.81,2025-05-23 12:44:00
233,467,19,Carrier B,141.7,2025-05-18 14:19:00
234,469,10,Carrier B,273.07,2025-01-31 09:49:00
235,472,60,Carrier B,198.46,2025-06-15 12:12:00
236,473,41,Carrier A,303.3,2025-08-12 17:50:00
237,474,45,In-House Agency,167.76,2025-11-07 18:03:00
238,478,13,In-House Agency,129.47,2025-10-22 16:09:00
239,479,53,Carrier A,228.24,2025-05-16 13:49:00
240,481,50,In-House Agency,236.66,2025-10-10 08:53:00
241,483,54,Carrier A,225.28,2025-07-20 09:00:00
242,486,53,In-House Agency,115.88,2025-11-13 19:14:00
243,489,45,In-House Agency,129.01,2025-12-09 17:28:00
244,495,36,Carrier B,286.27,2025-10-22 11:14:00
245,496,37,In-House Agency,218.89,2025-04-27 09:38:00
246,499,60,In-House Agency,216.46,2025-01-08 13:32:00
247,501,33,In-House Agency,255.24,2025-02-19 16:25:00
248,504,21,Carrier B,169.07,2025-12-18 18:01:00
249,505,11,Carrier A,242.35,2025-06-30 10:48:00
250,507,19,Carrier A,254.1,2025-01-10 11:13:00
251,509,2,Carrier A,264.68,2025-07-14 17:17:00
252,510,43,In-House Agency,178.1,2025-05-21 14:32:00
253,511,7,In-House Agency,294.17,2025-06-14 08:02:00
254,512,26,Carrier B,269.56,2025-03-26 18:16:00
255,516,22,Carrier A,161.43,2025-08-19 19:57:00
256,517,9,In-House Agency,120.45,2025-08-13 13:53:00
257,518,47,In-House Agency,153.87,2025-01-21 11:06:00
258,519,40,Carrier A,203.0,2025-05-02 17:30:00
259,520,24,Carrier A,293.97,2025-04-08 14:14:00
260,523,47,In-House Agency,264.19,2025-06-15 16:06:00
261,525,34,Carrier B,130.79,2025-11-21 12:39:00
262,527,8,Carrier B,100.36,2025-04-05 15:37:00
263,529,51,Carrier A,207.62,2025-03-27 14:46:00
264,530,33,In-House Agency,282.33,2025-11-12 10:10:00
265,532,8,In-House Agency,268.6,2025-03-12 17:56:00
266,536,43,Carrier A,239.5,2025-10-24 17:42:00
267,537,39,Carrier A,260.23,2025-10-21 13:23:00
268,538,53,Carrier B,165.78,2025-02-09 14:33:00
269,542,32,In-House Agency,266.3,2025-04-06 19:54:00
270,543,22,Carrier B,264.89,2025-07-01 12:19:00
271,548,20,Carrier B,266.9,2025-10-22 13:04:00
272,549,18,Carrier B,135.29,2025-01-20 09:55:00
273,551,24,Carrier A,291.37,2025-08-20 15:32:00
274,553,7,In-House Agency,119.9,2025-09-27 12:59:00
275,554,57,In-House Agency,286.81,2025-01-26 13:12:00
276,558,35,Carrier A,186.69,2025-08-16 10:45:00
277,559,38,In-House Agency,258.06,2025-11-20 16:05:00
278,560,49,In-House Agency,247.7,2025-09-01 15:30:00
279,562,21,Carrier B,260.11,2025-08-22 17:36:00
280,563,7,Carrier A,228.49,2025-06-19 16:10:00
281,567,53,Carrier B,165.39,2025-08-20 18:42:00
282,568,49,In-House Agency,219.26,2025-11-25 11:13:00
283,573,26,Carrier A,197.1,2025-11-22 11:35:00
284,574,56,In-House Agency,188.9,2025-12-13 10:05:00
285,576,25,Carrier A,248.11,2025-07-06 12:26:00
286,577,37,Carrier B,301.77,2025-07-11 09:09:00
287,578,34,In-House Agency,237.7,2025-05-29 18:04:00
288,579,35,In-House Agency,289.8,2025-10-27 17:46:00
289,581,38,Carrier A,122.27,2025-03-31 09:54:00
290,582,17,In-House Agency,253.88,2025-03-10 18:28:00
291,586,49,Carrier A,176.66,2025-03-05 19:24:00
292,587,10,In-House Agency,300.51,2025-10-03 09:58:00
293,588,23,Carrier B,235.68,2025-08-10 14:29:00
294,590,12,Carrier A,242.38,2025-06-14 13:14:00
295,596,17,Carrier B,300.46,2025-03-24 12:11:00
296,597,32,Carrier A,227.0,2025-04-16 09:58:00
297,599,2,In-House Agency,165.91,2025-09-13 14:36:00
298,601,8,In-House Agency,309.36,2025-10-18 18:05:00
299,604,29,Carrier A,265.44,2025-04-11 18:19:00
300,612,48,Carrier A,222.51,2025-12-15 13:04:00
301,613,24,In-House Agency,175.87,2025-10-16 10:01:00
302,615,19,Carrier B,207.46,2025-08-07 14:15:00
303,617,51,Carrier A,228.07,2025-06-08 16:32:00
304,618,13,Carrier A,233.65,2025-02-27 12:13:00
305,619,22,Carrier A,199.29,2025-11-13 09:04:00
306,621,21,Carrier B,286.64,2025-04-29 09:30:00
307,622,4,Carrier B,249.76,2025-08-13 18:22:00
308,623,13,Carrier B,184.92,2025-06-24 13:14:00
309,626,18,In-House Agency,298.44,2025-01-09 17:57:00
310,628,53,Carrier B,299.24,2025-02-25 10:22:00
311,629,43,Carrier B,260.94,2025-06-09 19:25:00
312,630,1,Carrier B,245.08,2025-11-21 17:34:00
313,631,14,Carrier B,285.92,2025-12-22 09:24:00
314,632,12,Carrier A,211.02,2025-11-30 18:30:00
315,633,49,In-House Agency,241.25,2025-10-27 12:03:00
316,634,34,Carrier B,266.98,2025-03-08 19:51:00
317,635,57,Carrier B,301.03,2025-02-04 09:06:00
318,637,35,Carrier A,99.74,2025-03-10 11:53:00
319,638,42,In-House Agency,244.83,2025-06-25 16:28:00
320,639,37,Carrier A,126.89,2025-03-11 12:29:00
321,643,23,Carrier B,295.18,2025-03-17 10:29:00
322,647,20,In-House Agency,232.88,2025-01-13 17:33:00
323,648,35,In-House Agency,225.09,2025-08-19 08:58:00
324,649,26,Carrier B,161.24,2025-03-19 15:55:00
325,651,58,Carrier B,197.04,2025-08-07 16:21:00
326,653,59,In-House Agency,160.34,2025-03-14 16:47:00
327,654,2,Carrier B,184.69,2025-01-07 15:58:00
328,656,38,Carrier A,175.24,2025-09-09 19:36:00
329,657,10,Carrier B,231.79,2025-06-15 13:03:00
330,658,50,In-House Agency,266.97,2025-11-20 12:43:00
331,659,24,Carrier B,183.58,2025-02-21 10:06:00
332,661,49,Carrier B,169.87,2025-02-28 19:23:00
333,664,51,In-House Agency,205.4,2025-02-27 08:30:00
334,667,23,Carrier A,271.21,2025-06-30 08:33:00
335,668,49,Carrier B,173.79,2025-10-08 17:11:00
336,669,7,Carrier B,121.58,2025-04-03 09:33:00
337,671,20,Carrier B,296.9,2025-12-18 13:11:00
338,672,26,In-House Agency,305.18,2025-08-18 19:59:00
339,675,50,Carrier B,307.32,2025-10-29 16:17:00
340,678,10,Carrier B,138.42,2025-06-08 18:31:00
341,680,3,Carrier A,214.68,2025-08-09 12:56:00
342,681,32,Carrier B,236.92,2025-08-14 18:34:00
343,683,25,Carrier A,274.94,2025-11-12 13:51:00
344,684,2,In-House Agency,147.51,2025-11-17 11:41:00
345,686,37,Carrier B,217.63,2025-09-23 13:36:00
346,688,24,Carrier B,309.19,2025-08-12 14:51:00
347,689,18,In-House Agency,272.1,2025-02-04 16:51:00
348,693,41,Carrier B,276.49,2025-02-05 14:20:00
349,694,59,Carrier B,242.67,2025-02-03 11:25:00
350,700,60,Carrier A,223.96,2025-03-03 13:21:00
351,701,48,Carrier B,189.49,2025-07-20 12:55:00
352,702,32,Carrier A,302.11,2025-10-06 10:23:00
353,706,55,Carrier B,140.23,2025-08-16 10:58:00
354,709,53,In-House Agency,253.62,2025-02-26 15:44:00
355,710,51,Carrier A,128.93,2025-11-25 16:45:00
356,715,15,In-House Agency,150.93,2025-02-18 09:23:00
357,718,39,Carrier A,157.39,2025-04-22 12:15:00
358,719,59,Carrier B,304.5,2025-05-09 14:43:00
359,720,17,In-House Agency,296.95,2025-02-09 17:45:00
360,722,9,Carrier B,123.36,2025-10-16 13:45:00
361,726,49,Carrier A,106.73,2025-03-20 10:02:00
362,727,11,In-House Agency,199.32,2025-09-02 15:07:00
363,730,1,Carrier B,100.58,2025-09-27 18:43:00
364,733,21,In-House Agency,110.21,2025-10-19 17:24:00
365,735,19,In-House Agency,224.76,2025-11-30 13:42:00
366,737,52,Carrier B,240.43,2025-07-10 18:43:00
367,738,60,Carrier B,159.58,2025-09-11 10:43:00
368,739,54,In-House Agency,118.14,2025-05-08 14:26:00
369,740,38,Carrier B,104.73,2025-02-12 14:56:00
370,743,7,Carrier B,243.74,2025-08-14 18:47:00
371,745,45,Carrier A,244.65,2025-12-12 11:54:00
372,746,28,Carrier A,130.71,2025-11-17 10:47:00
373,747,32,Carrier A,166.78,2025-09-02 09:40:00
374,751,36,Carrier B,191.39,2025-02-07 14:01:00
375,753,54,In-House Agency,235.29,2025-12-06 13:50:00
376,755,9,Carrier B,145.46,2025-04-02 16:03:00
377,757,22,Carrier B,260.42,2025-08-11 16:17:00
378,761,59,Carrier A,128.17,2025-07-10 13:21:00
379,764,24,Carrier B,292.37,2025-11-22 15:54:00
380,765,44,Carrier A,167.74,2025-07-05 14:49:00
381,770,29,Carrier B,250.9,2025-06-28 19:56:00
382,771,33,In-House Agency,150.62,2025-10-14 12:46:00
383,772,33,Carrier A,257.66,2025-02-26 09:28:00
384,774,15,In-House Agency,253.57,2025-07-02 09:20:00
385,775,13,Carrier A,186.35,2025-07-04 10:30:00
386,776,26,Carrier B,243.14,2025-11-01 15:46:00
387,777,53,In-House Agency,280.6,2025-03-30 09:44:00
388,778,36,Carrier A,207.4,2025-07-11 09:23:00
389,780,57,Carrier A,282.14,2025-05-28 14:30:00
390,782,49,Carrier B,114.2,2025-03-17 17:42:00
391,783,25,In-House Agency,114.03,2025-05-02 10:45:00
392,787,57,Carrier B,280.32,2025-10-24 08:21:00
393,789,35,In-House Agency,131.38,2025-03-31 17:20:00
394,791,4,Carrier B,299.11,2025-04-18 12:03:00
395,795,51,In-House Agency,157.19,2025-05-09 10:00:00
396,797,19,Carrier A,273.56,2025-01-29 19:35:00
397,799,49,Carrier B,98.41,2025-08-24 19:08:00
398,800,1,In-House Agency,200.13,2025-11-13 14:34:00
399,805,24,In-House Agency,180.16,2025-01-20 12:36:00
400,809,45,In-House Agency,239.72,2025-12-17 18:03:00
401,810,21,Carrier A,285.02,2025-08-14 11:03:00
402,811,26,Carrier B,300.92,2025-04-15 11:12:00
403,813,22,In-House Agency,265.73,2025-05-11 09:49:00
404,816,4,Carrier B,277.73,2025-06-04 14:06:00
405,817,27,In-House Agency,228.13,2025-05-03 13:41:00
406,818,51,In-House Agency,109.52,2025-01-18 11:57:00
407,819,41,Carrier A,266.36,2025-09-19 08:08:00
408,820,57,In-House Agency,221.08,2025-10-05 18:09:00
409,824,41,In-House Agency,175.82,2025-04-27 14:11:00
410,825,1,Carrier A,230.74,2025-07-08 13:02:00
411,826,13,Carrier A,133.39,2025-04-16 08:11:00
412,828,8,In-House Agency,305.08,2025-06-24 17:56:00
413,829,46,Carrier B,163.36,2025-02-08 14:40:00
414,830,51,In-House Agency,285.45,2025-03-22 11:46:00
415,831,25,In-House Agency,244.32,2025-11-29 19:31:00
416,832,38,Carrier B,280.58,2025-07-26 14:13:00
417,833,36,Carrier A,195.03,2025-02-17 17:21:00
418,834,30,Carrier B,145.26,2025-08-11 18:04:00
419,835,35,In-House Agency,138.07,2025-11-26 11:43:00
420,836,39,Carrier B,298.35,2025-03-14 17:48:00
421,837,31,Carrier A,197.0,2025-12-06 16:37:00
422,839,28,Carrier B,297.82,2025-08-03 08:31:00
423,840,54,In-House Agency,159.42,2025-07-06 17:01:00
424,842,59,Carrier A,197.08,2025-11-11 13:36:00
425,843,41,In-House Agency,200.05,2025-06-10 10:12:00
426,844,19,Carrier B,179.09,2025-12-06 09:08:00
427,845,31,In-House Agency,237.93,2025-02-08 10:38:00
428,846,20,Carrier B,108.75,2025-10-29 14:38:00
429,847,34,Carrier B,233.95,2025-06-18 15:22:00
430,848,46,In-House Agency,187.9,2025-06-06 14:58:00
431,851,14,In-House Agency,259.81,2025-09-10 13:26:00
432,853,48,Carrier A,247.46,2025-08-27 10:20:00
433,855,29,Carrier A,158.24,2025-03-13 16:47:00
434,858,43,Carrier A,294.7,2025-02-25 13:58:00
435,859,1,Carrier A,250.66,2025-06-27 08:26:00
436,861,26,In-House Agency,162.99,2025-08-11 14:13:00
437,865,45,Carrier B,305.27,2025-07-23 18:30:00
438,867,58,Carrier B,202.23,2025-03-06 11:09:00
439,868,47,In-House Agency,265.23,2025-11-03 14:41:00
440,869,49,In-House Agency,307.5,2025-01-13 18:44:00
441,870,39,Carrier A,300.04,2025-07-18 08:40:00
442,871,14,In-House Agency,195.42,2025-03-09 10:46:00
443,873,31,In-House Agency,188.19,2025-02-14 10:52:00
444,874,31,In-House Agency,132.78,2025-01-15 14:29:00
445,877,26,Carrier A,177.74,2025-07-11 17:10:00
446,878,33,In-House Agency,148.06,2025-09-11 15:02:00
447,879,24,Carrier B,298.02,2025-11-24 10:16:00
448,881,58,Carrier B,202.64,2025-02-16 16:42:00
449,884,1,Carrier B,252.6,2025-04-02 10:11:00
450,885,33,Carrier A,150.76,2025-02-27 14:28:00
451,886,40,Carrier B,101.38,2025-02-25 11:30:00
452,888,3,Carrier B,196.74,2025-02-21 13:38:00
453,889,24,Carrier A,304.69,2025-12-20 13:51:00
454,891,16,Carrier A,307.03,2025-07-09 13:01:00
455,892,56,In-House Agency,265.7,2025-01-29 13:27:00
456,893,60,In-House Agency,125.78,2025-09-02 16:56:00
457,895,36,Carrier A,131.64,2025-08-29 18:44:00
458,897,58,Carrier B,282.47,2025-12-15 17:49:00
459,899,42,Carrier A,118.95,2025-11-27 13:47:00
460,902,52,In-House Agency,278.26,2025-12-14 13:09:00
461,903,19,In-House Agency,102.38,2025-04-28 13:19:00
462,905,14,Carrier A,277.34,2025-09-16 11:44:00
463,908,26,Carrier B,115.92,2025-02-10 13:48:00
464,909,56,Carrier B,157.58,2025-02-02 10:13:00
465,911,11,In-House Agency,167.77,2025-02-02 14:09:00
466,913,12,In-House Agency,177.15,2025-12-04 18:41:00
467,916,7,Carrier A,164.92,2025-11-01 19:58:00
468,920,12,In-House Agency,129.66,2025-01-04 16:16:00
469,921,3,Carrier A,148.39,2025-02-18 08:33:00
470,922,19,In-House Agency,210.72,2025-12-06 11:44:00
471,924,18,Carrier A,181.01,2025-03-12 09:16:00
472,927,39,Carrier A,111.67,2025-03-29 09:34:00
473,933,44,In-House Agency,205.42,2025-09-30 10:42:00
474,934,47,Carrier A,189.38,2025-11-27 13:51:00
