lead_id,dealer_id,lead_source,department,status,created_at
59,54,QR Code,Sales,closed,2025-03-12 18:02:00
60,12,Call Center,Service,working,2025-04-13 16:32:00
61,54,Web,F&I,working,2025-03-26 12:47:00
62,52,Web,F&I,new,2025-02-28 11:55:00
63,44,QR Code,Sales,working,2025-07-23 08:16:00
64,53,Web,Sales,new,2025-11-23 15:01:00
65,36,QR Code,Sales,new,2025-06-17 18:52:00
66,7,QR Code,Sales,working,2025-05-01 13:42:00
67,45,Web,Sales,closed,2025-10-04 10:56:00
68,14,Web,F&I,working,2025-08-16 09:43:00
69,55,Call Center,Service,closed,2025-08-21 18:38:00
70,4,Call Center,F&I,closed,2025-06-20 11:04:00
71,36,QR Code,Sales,new,2025-04-17 13:49:00
72,52,Call Center,Service,new,2025-03-31 10:00:00
73,31,Web,Sales,new,2025-08-18 15:32:00
74,55,Web,Service,working,2025-07-25 19:58:00
75,34,Web,Sales,working,2025-05-31 09:50:00
76,55,QR Code,F&I,closed,2025-12-02 19:55:00
77,7,Web,Sales,working,2025-06-10 13:09:00
78,31,Call Center,Service,new,2025-02-04 14:06:00
79,24,QR Code,Sales,closed,2025-03-08 16:21:00
80,27,QR Code,F&I,working,2025-07-01 19:03:00
81,39,Web,Sales,closed,2025-06-09 11:09:00
82,15,Web,Service,working,2025-02-25 09:48:00
83,36,QR Code,F&I,closed,2025-01-14 12:01:00
84,48,Call Center,Sales,closed,2025-11-21 11:24:00
85,37,Call Center,F&I,new,2025-11-02 10:48:00
86,44,Web,Sales,working,2025-02-11 15:38:00
87,19,QR Code,Sales,closed,2025-12-14 18:19:00
88,50,Web,Sales,new,2025-03-12 08:31:00
89,12,Web,Sales,new,2025-03-08 16:35:00
90,52,Call Center,Sales,closed,2025-07-01 08:27:00
91,27,Call Center,Sales,working,2025-05-29 10:51:00
92,30,Web,Sales,new,2025-12-20 11:27:00
93,34,Web,F&I,closed,2025-02-10 13:14:00
94,58,Web,Service,closed,2025-06-28 10:15:00
95,5,QR Code,Sales,closed,2025-04-01 17:28:00
96,57,QR Code,Service,closed,2025-10-17 13:55:00
97,21,Web,Sales,working,2025-03-19 18:19:00
98,38,Web,Sales,working,2025-01-29 15:28:00
99,25,QR Code,Sales,closed,2025-08-25 08:28:00
100,37,Call Center,Sales,working,2025-11-30 16:09:00
101,29,Web,F&I,new,2025-02-22 16:41:00
102,11,Web,F&I,working,2025-07-06 14:49:00
103,47,QR Code,F&I,working,2025-12-03 09:37:00
104,59,Web,F&I,closed,2025-06-29 18:25:00
105,53,QR Code,Service,closed,2025-03-07 18:58:00
106,32,Call Center,F&I,new,2025-04-09 09:18:00
107,7,QR Code,Service,closed,2025-09-17 08:42:00
108,3,Web,Service,new,2025-07-30 15:39:00
109,51,Call Center,Sales,closed,2025-08-29 15:29:00
110,50,QR Code,Sales,new,2025-07-15 11:51:00
111,56,Call Center,Service,working,2025-05-09 16:59:00
112,33,Web,Sales,new,2025-03-17 15:56:00
113,21,QR Code,Service,new,2025-02-20 10:02:00
114,1,Call Center,Sales,new,2025-02-10 16:46:00
115,28,Web,Sales,new,2025-02-26 08:15:00
116,41,QR Code,Sales,new,2025-09-21 12:27:00
117,34,Call Center,F&I,closed,2025-07-04 16:50:00
118,36,Web,F&I,new,2025-01-11 18:24:00
119,17,Web,Service,working,2025-01-09 11:46:00
120,7,QR Code,Service,new,2025-10-25 08:22:00
121,31,Call Center,Service,new,2025-11-20 19:49:00
122,3,Call Center,Sales,new,2025-05-31 08:20:00
123,33,QR Code,Sales,new,2025-07-23 18:12:00
124,12,QR Code,Sales,closed,2025-09-12 12:51:00
125,19,Web,Service,working,2025-06-06 10:44:00
126,18,Call Center,Sales,closed,2025-11-24 14:23:00
127,44,Call Center,Sales,new,2025-08-13 18:23:00
128,24,Call Center,Sales,closed,2025-08-16 13:25:00
129,17,QR Code,Sales,closed,2025-05-14 12:44:00
130,32,Call Center,Sales,new,2025-04-13 15:11:00
131,29,QR Code,F&I,working,2025-02-14 18:22:00
132,36,Web,F&I,new,2025-10-05 19:45:00
133,41,Web,Sales,new,2025-03-31 11:50:00
134,36,QR Code,F&I,new,2025-03-08 12:25:00
135,47,QR Code,Sales,working,2025-09-03 17:04:00
136,9,QR Code,Sales,new,2025-10-10 14:32:00
137,4,QR Code,Sales,new,2025-03-05 10:20:00
138,15,QR Code,F&I,new,2025-06-27 12:12:00
139,36,Call Center,Service,closed,2025-05-21 16:05:00
140,47,Web,Service,closed,2025-11-06 08:52:00
141,6,QR Code,Service,working,2025-01-24 18:13:00
142,27,QR Code,Sales,closed,2025-11-13 16:18:00
143,20,Call Center,Service,closed,2025-09-05 14:19:00
144,22,Call Center,Sales,closed,2025-11-07 13:46:00
145,23,Call Center,Service,closed,2025-07-24 16:06:00
146,16,Web,F&I,closed,2025-03-23 13:12:00
147,32,Web,Sales,working,2025-09-21 15:01:00
148,4,Web,Sales,closed,2025-01-26 18:30:00
149,4,QR Code,Sales,closed,2025-10-19 12:04:00
150,9,Web,Sales,working,2025-02-19 16:23:00
151,13,QR Code,Sales,new,2025-11-05 08:02:00
152,9,QR Code,Sales,working,2025-06-17 17:47:00
153,38,QR Code,Service,closed,2025-06-22 15:45:00
154,31,Web,Sales,new,2025-01-09 14:37:00
155,38,Call Center,Sales,closed,2025-09-03 17:49:00
156,10,Call Center,Sales,closed,2025-12-15 09:12:00
157,50,Web,F&I,closed,2025-11-10 19:03:00
158,34,QR Code,Sales,closed,2025-04-17 15:33:00
159,13,Web,Sales,new,2025-05-07 12:49:00
160,44,Web,F&I,working,2025-10-06 13:49:00
161,19,Web,F&I,new,2025-01-22 13:59:00
162,60,QR Code,Sales,new,2025-10-15 17:47:00
163,16,QR Code,F&I,new,2025-01-26 18:14:00
164,1,Call Center,Sales,working,2025-10-09 15:41:00
165,42,Call Center,Sales,closed,2025-10-21 08:58:00
166,27,Call Center,F&I,working,2025-04-01 15:11:00
167,56,Call Center,Sales,closed,2025-05-29 17:06:00
168,22,Web,F&I,closed,2025-05-26 16:31:00
169,9,Web,Sales,new,2025-09-16 13:10:00
170,42,QR Code,Sales,closed,2025-05-12 13:50:00
171,28,Web,Sales,closed,2025-09-21 09:11:00
172,31,Call Center,Sales,working,2025-06-15 11:28:00
173,22,QR Code,Service,new,2025-06-04 12:41:00
174,41,Web,Service,new,2025-06-01 10:30:00
175,49,QR Code,Service,new,2025-10-03 18:48:00
176,51,QR Code,Sales,closed,2025-02-11 13:04:00
177,8,QR Code,F&I,new,2025-02-01 17:34:00
178,32,QR Code,Sales,new,2025-02-16 15:08:00
179,47,Web,Sales,new,2025-01-12 19:13:00
180,3,Web,Service,closed,2025-08-05 08:59:00
181,60,Call Center,Sales,new,2025-08-30 10:49:00
182,47,Web,Sales,working,2025-11-27 15:55:00
183,25,Call Center,Service,closed,2025-07-12 16:08:00
184,23,Call Center,F&I,working,2025-03-02 16:08:00
185,15,Call Center,F&I,working,2025-01-02 18:46:00
186,8,QR Code,Sales,new,2025-01-17 11:13:00
187,16,Web,Sales,closed,2025-01-23 11:48:00
188,4,QR Code,F&I,new,2025-03-13 19:36:00
189,43,Call Center,Sales,working,2025-09-24 08:35:00
190,57,QR Code,Service,closed,2025-03-31 15:03:00
191,42,Web,Service,working,2025-12-10 19:26:00
192,52,Call Center,Sales,working,2025-08-26 16:33:00
193,55,Call Center,Sales,new,2025-07-09 08:17:00
194,38,QR Code,Sales,new,2025-12-10 13:19:00
195,1,Call Center,F&I,new,2025-04-19 19:48:00
196,36,Web,Sales,closed,2025-06-14 18:22:00
197,47,Web,F&I,working,2025-08-29 13:26:00
198,38,Web,Sales,working,2025-08-02 11:24:00
199,16,QR Code,Service,closed,2025-09-13 13:16:00
200,32,QR Code,Sales,new,2025-11-25 19:50:00
201,42,QR Code,Sales,new,2025-01-31 18:03:00
202,27,QR Code,Sales,closed,2025-03-12 10:00:00
203,59,QR Code,Sales,new,2025-09-05 16:35:00
204,59,QR Code,Sales,new,2025-02-19 17:33:00
205,30,Call Center,F&I,new,2025-10-17 12:43:00
206,6,QR Code,Service,new,2025-12-01 14:24:00
207,7,Call Center,Sales,closed,2025-09-28 17:30:00
208,12,Call Center,F&I,closed,2025-06-11 10:48:00
209,53,Call Center,Sales,closed,2025-07-23 11:36:00
210,25,QR Code,Sales,closed,2025-12-13 10:50:00
211,47,QR Code,Service,working,2025-02-10 08:06:00
212,51,Web,Sales,closed,2025-08-19 14:27:00
213,46,Call Center,Sales,working,2025-02-07 19:50:00
214,48,Web,Sales,new,2025-07-19 08:19:00
215,36,Web,Sales,new,2025-09-20 13:35:00
216,50,QR Code,F&I,new,2025-02-13 17:33:00
217,5,Web,Sales,working,2025-03-27 15:50:00
218,30,Call Center,Sales,working,2025-02-24 13:53:00
219,52,Web,Sales,closed,2025-06-18 17:08:00
220,21,QR Code,Service,working,2025-05-30 17:50:00
221,12,QR Code,Sales,closed,2025-12-16 15:45:00
222,41,Call Center,Sales,new,2025-06-05 19:27:00
223,5,QR Code,Sales,working,2025-08-18 16:32:00
224,56,QR Code,Sales,working,2025-08-03 19:57:00
225,39,Call Center,Sales,new,2025-11-23 18:42:00
226,49,Web,Sales,new,2025-06-19 12:14:00
227,26,QR Code,Sales,closed,2025-08-26 10:22:00
228,31,Web,Sales,new,2025-02-23 09:53:00
229,10,Web,Sales,new,2025-06-28 16:30:00
230,22,Call Center,Service,new,2025-11-28 19:15:00
231,43,Web,Sales,closed,2025-08-10 11:28:00
232,25,QR Code,Sales,working,2025-01-03 19:51:00
233,37,QR Code,Sales,working,2025-02-22 11:29:00
234,40,QR Code,Sales,working,2025-07-20 15:39:00
235,20,Call Center,Sales,new,2025-03-01 16:24:00
236,45,Call Center,Sales,working,2025-11-27 12:08:00
237,13,QR Code,Sales,working,2025-07-16 14:43:00
238,15,Web,Sales,working,2025-10-03 17:47:00
239,32,QR Code,Sales,new,2025-10-09 12:49:00
240,35,Web,Sales,closed,2025-04-22 11:19:00
241,3,Web,Sales,new,2025-08-19 15:55:00
242,50,Call Center,Service,closed,2025-05-02 19:22:00
243,40,Web,Sales,new,2025-11-20 11:52:00
244,21,Web,Sales,closed,2025-05-30 18:52:00
245,9,Call Center,Service,new,2025-05-08 18:25:00
246,41,Web,Sales,working,2025-02-17 19:59:00
247,30,Web,Sales,closed,2025-09-07 09:46:00
248,41,QR Code,Sales,new,2025-12-07 16:25:00
249,32,QR Code,Service,new,2025-06-25 09:40:00
250,30,Call Center,F&I,new,2025-01-09 15:29:00
251,11,Call Center,Service,working,2025-05-21 09:23:00
252,42,Call Center,Sales,working,2025-03-26 19:44:00
253,28,Call Center,Service,new,2025-12-02 11:30:00
254,9,Call Center,Sales,new,2025-09-02 19:51:00
255,49,QR Code,F&I,new,2025-03-10 09:33:00
256,40,Call Center,Sales,closed,2025-11-29 11:40:00
257,59,QR Code,Service,new,2025-07-30 09:57:00
258,6,QR Code,Service,closed,2025-05-08 17:18:00
259,45,QR Code,F&I,new,2025-01-14 16:38:00
260,16,Web,Sales,working,2025-09-11 18:38:00
261,37,Web,Sales,new,2025-08-04 15:49:00
262,51,QR Code,Sales,closed,2025-07-23 16:49:00
263,18,Web,Sales,new,2025-02-12 10:34:00
264,20,QR Code,F&I,new,2025-08-12 08:15:00
265,46,QR Code,Sales,working,2025-03-12 13:33:00
266,18,Call Center,Sales,working,2025-03-02 12:33:00
267,4,QR Code,Sales,new,2025-09-13 12:49:00
268,3,Call Center,Sales,working,2025-01-07 14:58:00
269,15,Call Center,Sales,closed,2025-06-14 13:17:00
270,37,Call Center,Sales,new,2025-07-10 10:14:00
271,3,Call Center,F&I,working,2025-07-25 12:20:00
272,48,Call Center,Sales,closed,2025-11-15 15:49:00
273,47,Call Center,Sales,working,2025-10-07 08:14:00
274,25,Call Center,Sales,new,2025-06-07 14:31:00
275,10,Call Center,Sales,new,2025-05-24 16:26:00
276,24,QR Code,Sales,new,2025-08-23 16:08:00
277,26,QR Code,Sales,working,2025-02-08 18:08:00
278,21,Web,Sales,new,2025-06-12 11:08:00
279,38,Call Center,Sales,working,2025-02-25 15:20:00
280,52,Web,Service,closed,2025-12-18 17:02:00
281,12,Web,F&I,closed,2025-01-16 19:35:00
282,26,QR Code,Service,closed,2025-07-10 09:37:00
283,59,Call Center,F&I,new,2025-02-08 18:28:00
284,6,Call Center,Sales,working,2025-06-19 08:10:00
285,28,Web,Sales,closed,2025-07-22 14:11:00
286,40,QR Code,Sales,working,2025-05-06 16:30:00
287,34,QR Code,F&I,closed,2025-05-08 08:24:00
288,23,QR Code,Service,working,2025-09-03 17:32:00
289,23,Call Center,F&I,new,2025-10-27 11:42:00
290,52,Web,F&I,new,2025-07-18 10:15:00
291,52,QR Code,Sales,closed,2025-07-03 13:36:00
292,37,Web,Sales,new,2025-04-07 15:02:00
293,46,Web,Sales,new,2025-04-01 17:45:00
294,50,QR Code,F&I,new,2025-02-26 13:45:00
295,26,Call Center,Sales,working,2025-10-28 10:10:00
296,28,Web,Service,new,2025-11-24 19:35:00
297,60,Web,Sales,closed,2025-11-11 10:24:00
298,37,QR Code,Sales,closed,2025-07-20 13:58:00
299,40,QR Code,Sales,working,2025-04-24 10:21:00
300,16,Web,Sales,new,2025-06-27 19:42:00
301,57,Web,Sales,new,2025-06-21 11:44:00
302,27,Web,Sales,working,2025-03-27 13:34:00
303,21,Call Center,Sales,new,2025-05-14 14:10:00
304,36,Web,Sales,closed,2025-02-17 15:45:00
305,45,QR Code,F&I,closed,2025-10-11 12:42:00
306,10,Web,Sales,new,2025-01-28 12:52:00
307,39,Call Center,Sales,new,2025-09-03 10:40:00
308,35,Call Center,Sales,working,2025-07-18 13:11:00
309,7,QR Code,Sales,closed,2025-02-13 14:48:00
310,36,Web,Service,working,2025-02-01 16:43:00
311,31,Call Center,Sales,new,2025-10-21 14:57:00
312,3,QR Code,F&I,closed,2025-09-15 18:39:00
313,9,Web,Sales,closed,2025-01-22 14:12:00
314,41,QR Code,Sales,closed,2025-03-17 09:05:00
315,56,QR Code,Service,closed,2025-01-07 14:07:00
316,23,Web,Sales,working,2025-07-30 17:38:00
317,26,Web,F&I,working,2025-01-20 19:15:00
318,20,Web,Service,closed,2025-06-09 18:06:00
319,15,Web,F&I,working,2025-03-10 13:17:00
320,39,Call Center,Sales,new,2025-11-27 14:47:00
321,55,QR Code,Sales,new,2025-09-26 11:53:00
322,41,QR Code,Sales,working,2025-03-05 15:38:00
323,17,Call Center,Sales,working,2025-12-19 08:10:00
324,50,Call Center,Service,closed,2025-04-20 11:17:00
325,33,QR Code,Sales,new,2025-01-11 18:11:00
326,1,Web,Service,working,2025-04-25 19:45:00
327,28,Web,Sales,new,2025-07-12 15:19:00
328,53,Web,Sales,new,2025-11-16 16:42:00
329,54,QR Code,Service,closed,2025-07-11 12:19:00
330,31,Web,F&I,closed,2025-02-02 13:55:00
331,55,Web,Service,closed,2025-11-04 10:46:00
332,46,QR Code,Sales,working,2025-04-24 18:22:00
333,36,QR Code,F&I,closed,2025-04-04 09:14:00
334,4,QR Code,Sales,closed,2025-11-21 09:30:00
335,33,QR Code,Sales,working,2025-03-03 14:03:00
336,10,Call Center,Sales,closed,2025-03-12 15:09:00
337,12,QR Code,Sales,working,2025-06-10 12:13:00
338,11,Call Center,Sales,new,2025-10-23 10:39:00
339,1,QR Code,Sales,closed,2025-06-14 08:40:00
340,15,Web,Sales,working,2025-06-26 16:37:00
341,39,Web,Sales,closed,2025-09-26 10:21:00
342,32,Call Center,Sales,working,2025-07-03 08:14:00
343,41,QR Code,Service,closed,2025-05-11 08:42:00
344,10,QR Code,Service,new,2025-04-16 12:26:00
345,43,Web,Service,closed,2025-09-24 10:26:00
346,7,QR Code,Service,working,2025-09-19 09:50:00
347,13,QR Code,Sales,new,2025-07-03 08:35:00
348,37,Web,Sales,new,2025-12-09 16:04:00
349,7,QR Code,Sales,working,2025-05-12 12:29:00
350,28,Call Center,F&I,new,2025-03-01 08:54:00
351,8,Web,F&I,working,2025-07-25 14:44:00
352,52,QR Code,F&I,new,2025-08-04 09:08:00
353,4,Call Center,Sales,closed,2025-03-23 15:51:00
354,29,QR Code,Sales,working,2025-04-03 17:01:00
355,57,Web,F&I,new,2025-03-08 14:28:00
356,50,QR Code,Sales,closed,2025-10-23 13:33:00
357,53,QR Code,Sales,closed,2025-10-13 10:32:00
358,55,Call Center,Sales,working,2025-09-11 13:15:00
359,52,Web,Sales,working,2025-10-21 15:20:00
360,36,Call Center,Service,closed,2025-10-09 17:40:00
361,24,Call Center,Service,working,2025-01-28 16:49:00
362,31,Web,Service,new,2025-12-03 09:48:00
363,1,Web,Service,working,2025-06-24 16:33:00
364,48,Call Center,Sales,new,2025-07-29 11:07:00
365,26,Web,Service,new,2025-04-21 19:21:00
366,33,Web,Sales,closed,2025-03-10 08:35:00
367,54,Web,F&I,new,2025-10-27 19:37:00
368,33,Web,F&I,closed,2025-07-16 11:17:00
369,45,Web,Service,closed,2025-09-20 13:45:00
370,36,Call Center,Sales,closed,2025-11-20 19:18:00
371,59,Call Center,F&I,closed,2025-12-11 10:32:00
372,37,QR Code,Sales,closed,2025-12-08 16:18:00
373,28,QR Code,Sales,working,2025-01-07 10:03:00
374,13,Call Center,F&I,closed,2025-05-17 12:09:00
375,45,Call Center,Service,new,2025-06-01 13:52:00
376,25,QR Code,Service,closed,2025-05-02 12:44:00
377,60,Web,Sales,closed,2025-07-15 13:35:00
378,48,Call Center,Service,new,2025-11-05 12:28:00
379,25,Web,Sales,working,2025-01-21 10:10:00
380,17,Web,Sales,new,2025-01-03 08:09:00
381,39,QR Code,Service,closed,2025-01-27 12:31:00
382,36,Call Center,Service,working,2025-07-03 16:14:00
383,34,QR Code,Sales,closed,2025-02-04 16:25:00
384,49,Call Center,Sales,working,2025-11-29 15:15:00
385,40,Call Center,F&I,closed,2025-11-15 13:24:00
386,8,Web,Sales,working,2025-07-17 08:58:00
387,6,Call Center,F&I,closed,2025-02-19 16:00:00
388,14,QR Code,Service,closed,2025-12-10 14:53:00
389,53,QR Code,Service,new,2025-02-06 15:45:00
390,29,Web,Sales,new,2025-11-19 14:43:00
391,3,Web,F&I,new,2025-02-07 12:50:00
392,39,Web,Service,working,2025-02-14 14:25:00
393,2,Call Center,Sales,new,2025-08-31 19:25:00
394,55,Web,F&I,new,2025-10-07 12:43:00
395,51,Web,F&I,new,2025-11-28 16:55:00
396,8,Call Center,Sales,working,2025-01-22 16:35:00
397,20,QR Code,Service,closed,2025-04-18 13:13:00
398,17,Call Center,Sales,closed,2025-04-10 08:54:00
399,36,QR Code,Sales,working,2025-08-25 18:04:00
400,40,Call Center,Sales,working,2025-02-05 13:39:00
401,45,Call Center,Sales,working,2025-10-27 13:27:00
402,18,Call Center,Service,working,2025-07-04 15:29:00
403,54,Call Center,F&I,new,2025-05-24 12:46:00
404,5,Call Center,Service,closed,2025-02-08 08:52:00
405,26,Call Center,F&I,closed,2025-10-30 12:34:00
406,35,QR Code,Service,working,2025-08-30 14:14:00
407,38,Call Center,Sales,closed,2025-05-29 09:25:00
408,12,QR Code,Service,new,2025-10-17 19:46:00
409,14,Web,Sales,working,2025-09-23 08:02:00
410,21,QR Code,F&I,closed,2025-02-22 12:53:00
411,38,QR Code,Sales,closed,2025-10-06 14:23:00
412,58,QR Code,Sales,new,2025-02-09 16:25:00
413,9,Call Center,Sales,closed,2025-08-14 18:17:00
414,8,QR Code,Sales,new,2025-09-04 17:10:00
415,27,Call Center,Sales,closed,2025-01-12 17:10:00
416,41,QR Code,Service,working,2025-01-10 09:13:00
417,33,Call Center,Service,working,2025-05-16 15:38:00
418,15,Web,Sales,new,2025-07-13 11:33:00
419,33,Web,Service,closed,2025-12-17 09:11:00
420,6,QR Code,Sales,closed,2025-09-04 16:52:00
421,45,Web,Sales,working,2025-09-29 14:22:00
422,48,Call Center,Sales,working,2025-10-22 15:49:00
423,8,Call Center,Sales,new,2025-09-24 19:51:00
424,40,QR Code,Sales,new,2025-05-22 14:35:00
425,31,Web,Sales,working,2025-04-02 12:19:00
426,50,QR Code,Sales,closed,2025-07-23 09:47:00
427,52,QR Code,Service,closed,2025-10-09 08:10:00
428,28,Call Center,Sales,working,2025-02-15 09:38:00
429,39,Call Center,Service,working,2025-01-30 08:12:00
430,60,Web,Sales,closed,2025-09-23 16:33:00
431,40,QR Code,Sales,new,2025-03-28 18:00:00
432,6,Web,Sales,working,2025-05-22 14:37:00
433,18,QR Code,F&I,working,2025-04-26 14:36:00
434,22,QR Code,F&I,closed,2025-03-01 17:16:00
435,25,Web,Service,working,2025-10-16 15:43:00
436,23,QR Code,Sales,working,2025-09-22 11:18:00
437,31,Web,Sales,closed,2025-06-10 12:11:00
438,44,Web,Service,new,2025-04-08 19:15:00
439,14,Call Center,Service,closed,2025-04-28 13:09:00
440,8,QR Code,F&I,working,2025-02-10 17:00:00
441,35,Web,Sales,working,2025-01-22 15:57:00
442,58,Web,Sales,closed,2025-10-22 12:25:00
443,3,Web,Sales,closed,2025-09-15 10:29:00
444,45,Web,Sales,new,2025-09-23 08:43:00
445,31,Web,Sales,working,2025-11-10 14:13:00
446,18,QR Code,Sales,working,2025-05-01 11:09:00
447,48,Web,Service,new,2025-03-18 14:31:00
448,17,QR Code,Sales,new,2025-10-15 19:10:00
449,17,Web,Sales,working,2025-07-04 13:01:00
450,42,Call Center,F&I,working,2025-10-03 13:20:00
451,32,Call Center,Sales,working,2025-08-17 15:40:00
452,56,QR Code,Service,working,2025-03-27 14:40:00
453,26,Call Center,Sales,new,2025-02-06 13:20:00
454,46,QR Code,Service,working,2025-05-17 15:49:00
455,24,QR Code,F&I,working,2025-10-28 10:11:00
456,9,QR Code,Sales,closed,2025-05-01 19:47:00
457,36,Call Center,Service,closed,2025-01-28 09:06:00
458,9,Call Center,Sales,closed,2025-09-27 13:55:00
459,56,Web,F&I,closed,2025-09-01 12:35:00
460,41,Web,Sales,closed,2025-10-16 16:19:00
461,31,Call Center,Service,working,2025-10-04 12:23:00
462,9,Web,Sales,new,2025-06-26 19:59:00
463,13,QR Code,Sales,new,2025-07-30 10:45:00
464,25,Call Center,Sales,working,2025-07-13 18:15:00
465,52,Web,Sales,new,2025-05-18 10:08:00
466,13,Call Center,Sales,closed,2025-06-14 08:11:00
467,19,Call Center,Service,closed,2025-05-18 08:14:00
468,32,Web,Service,new,2025-07-10 13:05:00
469,10,Web,Service,new,2025-01-29 16:30:00
470,25,Call Center,Service,new,2025-08-15 11:29:00
471,7,QR Code,F&I,working,2025-09-24 14:43:00
472,60,Call Center,Service,new,2025-06-15 19:59:00
473,41,Web,Sales,working,2025-08-11 17:07:00
474,45,Call Center,Sales,new,2025-11-02 11:10:00
475,51,Call Center,Sales,working,2025-02-24 16:50:00
476,23,QR Code,Sales,closed,2025-08-13 14:22:00
477,17,Web,Service,closed,2025-01-21 12:34:00
478,13,Call Center,Sales,working,2025-10-18 19:29:00
479,53,QR Code,Sales,new,2025-05-15 18:32:00
480,21,QR Code,F&I,working,2025-02-02 11:33:00
481,50,Call Center,Service,working,2025-10-10 14:41:00
482,12,Call Center,Sales,new,2025-01-17 09:02:00
483,54,QR Code,Sales,closed,2025-07-18 19:37:00
484,14,Web,F&I,new,2025-12-02 15:51:00
485,24,QR Code,F&I,working,2025-10-13 13:50:00
486,53,Web,Sales,closed,2025-11-12 09:53:00
487,13,QR Code,Service,closed,2025-04-09 18:11:00
488,36,QR Code,Sales,closed,2025-08-01 17:22:00
489,45,Web,F&I,new,2025-12-07 10:35:00
490,58,QR Code,F&I,working,2025-06-11 13:26:00
491,28,QR Code,Sales,closed,2025-06-15 11:24:00
492,60,Web,F&I,working,2025-05-11 14:00:00
493,19,Call Center,Sales,working,2025-11-02 08:19:00
494,14,Call Center,Service,closed,2025-06-11 12:58:00
495,36,QR Code,Sales,new,2025-10-20 15:22:00
496,37,QR Code,Sales,working,2025-04-22 15:11:00
497,3,Web,Sales,new,2025-10-23 13:22:00
498,28,Call Center,F&I,new,2025-08-02 19:41:00
499,60,QR Code,Service,working,2025-01-06 08:19:00
500,10,QR Code,Service,working,2025-01-26 15:48:00
501,33,Call Center,Sales,working,2025-02-16 10:08:00
502,49,Web,Sales,working,2025-03-11 14:41:00
503,36,QR Code,Sales,new,2025-11-12 09:17:00
504,21,QR Code,Sales,closed,2025-12-17 14:27:00
505,11,QR Code,Service,working,2025-06-29 17:09:00
506,6,QR Code,Sales,closed,2025-02-27 10:55:00
507,19,Web,Service,new,2025-01-08 12:28:00
508,49,QR Code,Sales,closed,2025-05-13 10:44:00
