policy_id,quote_id,lead_id,dealer_id,carrier,monthly_premium,term_months,bound_at
109,298,601,8,In-House Agency,309.36,6,2025-10-23 15:48:00
110,300,612,48,Carrier A (DCO),222.51,12,2025-12-17 10:44:00
111,303,617,51,Carrier A (DCO),228.07,6,2025-06-18 12:03:00
112,309,626,18,In-House Agency,298.44,6,2025-01-09 15:46:00
113,310,628,53,Carrier B (DCO),299.24,6,2025-03-07 08:30:00
114,311,629,43,Carrier B (DCO),260.94,12,2025-06-14 19:40:00
115,313,631,14,Carrier B (DCO),285.92,6,2025-12-31 13:23:00
116,315,633,49,In-House Agency,241.25,12,2025-11-01 15:32:00
117,317,635,57,Carrier B (DCO),301.03,6,2025-02-05 15:09:00
118,322,647,20,In-House Agency,232.88,6,2025-01-17 08:05:00
119,325,651,58,Carrier B (DCO),197.04,12,2025-08-16 09:00:00
120,328,656,38,Carrier A (DCO),175.24,6,2025-09-13 17:03:00
121,329,657,10,Carrier B (DCO),231.79,6,2025-06-23 16:12:00
122,331,659,24,Carrier B (DCO),183.58,6,2025-03-01 11:50:00
123,332,661,49,Carrier B (DCO),169.87,12,2025-03-07 10:45:00
124,333,664,51,In-House Agency,205.4,6,2025-03-03 09:19:00
125,334,667,23,Carrier A (DCO),271.21,12,2025-07-03 10:57:00
126,336,669,7,Carrier B (DCO),121.58,12,2025-04-08 16:46:00
127,337,671,20,Carrier B (DCO),296.9,12,2025-12-28 18:06:00
128,339,675,50,Carrier B (DCO),307.32,6,2025-11-05 09:16:00
129,344,684,2,In-House Agency,147.51,6,2025-11-18 12:07:00
130,345,686,37,Carrier B (DCO),217.63,6,2025-09-30 19:43:00
131,346,688,24,Carrier B (DCO),309.19,6,2025-08-13 17:21:00
132,347,689,18,In-House Agency,272.1,12,2025-02-14 11:26:00
133,349,694,59,Carrier B (DCO),242.67,6,2025-02-05 08:15:00
134,354,709,53,In-House Agency,253.62,6,2025-02-26 18:28:00
135,356,715,15,In-House Agency,150.93,6,2025-02-27 08:45:00
136,358,719,59,Carrier B (DCO),304.5,12,2025-05-15 19:38:00
137,363,730,1,Carrier B (DCO),100.58,6,2025-10-02 13:09:00
138,364,733,21,In-House Agency,110.21,6,2025-10-23 11:49:00
139,365,735,19,In-House Agency,224.76,6,2025-12-05 15:28:00
140,368,739,54,In-House Agency,118.14,12,2025-05-18 13:16:00
141,371,745,45,Carrier A (DCO),244.65,6,2025-12-19 18:15:00
142,374,751,36,Carrier B (DCO),191.39,12,2025-02-10 13:28:00
143,380,765,44,Carrier A (DCO),167.74,12,2025-07-05 08:42:00
144,381,770,29,Carrier B (DCO),250.9,12,2025-07-06 11:05:00
145,383,772,33,Carrier A (DCO),257.66,12,2025-02-26 13:15:00
146,385,775,13,Carrier A (DCO),186.35,12,2025-07-05 18:33:00
147,387,777,53,In-House Agency,280.6,6,2025-04-06 19:10:00
148,388,778,36,Carrier A (DCO),207.4,12,2025-07-16 12:31:00
149,391,783,25,In-House Agency,114.03,12,2025-05-12 16:41:00
150,393,789,35,In-House Agency,131.38,12,2025-03-31 14:06:00
151,394,791,4,Carrier B (DCO),299.11,12,2025-04-26 09:30:00
152,395,795,51,In-House Agency,157.19,12,2025-05-16 17:16:00
153,398,800,1,In-House Agency,200.13,6,2025-11-23 16:01:00
154,401,810,21,Carrier A (DCO),285.02,12,2025-08-20 13:00:00
155,402,811,26,Carrier B (DCO),300.92,6,2025-04-19 18:40:00
156,407,819,41,Carrier A (DCO),266.36,12,2025-09-25 12:37:00
157,408,820,57,In-House Agency,221.08,6,2025-10-13 14:22:00
158,413,829,46,Carrier B (DCO),163.36,6,2025-02-08 16:18:00
159,414,830,51,In-House Agency,285.45,6,2025-03-29 10:32:00
160,416,832,38,Carrier B (DCO),280.58,6,2025-08-01 13:16:00
161,418,834,30,Carrier B (DCO),145.26,12,2025-08-12 16:32:00
162,419,835,35,In-House Agency,138.07,12,2025-11-30 11:45:00
163,425,843,41,In-House Agency,200.05,12,2025-06-16 11:14:00
164,433,855,29,Carrier A (DCO),158.24,6,2025-03-14 18:17:00
165,434,858,43,Carrier A (DCO),294.7,6,2025-02-26 14:01:00
166,437,865,45,Carrier B (DCO),305.27,12,2025-07-23 14:32:00
167,438,867,58,Carrier B (DCO),202.23,6,2025-03-16 11:59:00
168,442,871,14,In-House Agency,195.42,6,2025-03-15 17:15:00
169,444,874,31,In-House Agency,132.78,12,2025-01-19 16:38:00
170,445,877,26,Carrier A (DCO),177.74,12,2025-07-17 19:22:00
171,447,879,24,Carrier B (DCO),298.02,6,2025-12-03 08:07:00
172,449,884,1,Carrier B (DCO),252.6,6,2025-04-04 15:11:00
173,453,889,24,Carrier A (DCO),304.69,12,2025-12-27 19:53:00
174,457,895,36,Carrier A (DCO),131.64,6,2025-09-04 10:59:00
175,464,909,56,Carrier B (DCO),157.58,6,2025-02-05 13:46:00
176,470,922,19,In-House Agency,210.72,6,2025-12-06 08:12:00
177,472,927,39,Carrier A (DCO),111.67,12,2025-04-06 09:21:00
178,473,933,44,In-House Agency,205.42,12,2025-10-06 08:58:00
179,478,942,22,Carrier A (DCO),95.48,6,2025-12-20 15:57:00
180,486,955,20,Carrier A (DCO),160.42,12,2025-12-01 11:20:00
181,488,957,17,Carrier A (DCO),166.21,12,2025-09-22 11:41:00
182,492,967,19,In-House Agency,126.85,6,2025-05-18 11:34:00
183,499,979,41,Carrier B (DCO),125.49,6,2025-10-16 13:41:00
184,500,980,19,Carrier A (DCO),116.87,6,2025-05-01 13:59:00
185,501,981,60,In-House Agency,186.43,12,2025-02-18 09:17:00
186,502,982,59,Carrier A (DCO),262.22,12,2025-09-20 09:07:00
187,506,989,25,Carrier A (DCO),197.52,12,2025-01-20 10:05:00
188,508,991,47,In-House Agency,101.91,12,2025-06-28 18:56:00
189,509,995,5,Carrier B (DCO),234.03,12,2025-08-29 17:49:00
190,512,1001,31,Carrier A (DCO),299.86,6,2025-11-12 19:10:00
191,513,1006,36,Carrier B (DCO),218.95,12,2025-02-21 15:16:00
192,515,1010,4,Carrier A (DCO),217.58,6,2025-05-16 13:29:00
193,516,1011,30,Carrier B (DCO),260.17,12,2025-11-30 17:31:00
194,517,1013,10,Carrier B (DCO),305.39,12,2025-11-26 12:16:00
195,520,1017,36,In-House Agency,254.71,12,2025-11-09 10:31:00
196,524,1022,30,In-House Agency,243.04,6,2025-08-19 09:51:00
197,526,1024,3,Carrier A (DCO),137.05,12,2025-12-18 18:45:00
198,527,1025,51,Carrier B (DCO),161.09,6,2025-08-02 08:01:00
199,530,1028,9,Carrier A (DCO),298.97,6,2025-09-26 18:49:00
200,532,1030,23,In-House Agency,262.71,12,2025-04-07 09:59:00
201,534,1032,6,Carrier B (DCO),110.82,12,2025-02-15 13:40:00
202,538,1042,19,Carrier B (DCO),187.32,12,2025-11-10 13:09:00
203,539,1043,50,In-House Agency,265.98,6,2025-06-17 16:13:00
204,540,1045,27,Carrier B (DCO),105.06,6,2025-12-26 17:20:00
205,545,1055,21,In-House Agency,234.13,6,2025-09-13 11:00:00
206,547,1057,46,Carrier B (DCO),304.64,6,2025-08-29 09:17:00
207,549,1059,18,Carrier A (DCO),171.2,12,2025-01-25 08:28:00
208,552,1063,26,Carrier B (DCO),231.93,6,2025-07-22 10:32:00
209,554,1065,43,Carrier A (DCO),222.71,12,2025-09-08 09:02:00
210,557,1069,10,In-House Agency,244.6,6,2025-08-04 14:40:00
211,561,1078,25,Carrier A (DCO),216.24,6,2025-08-16 18:49:00
212,565,1083,1,Carrier A (DCO),166.7,12,2025-09-06 08:07:00
213,566,1084,48,In-House Agency,254.19,6,2025-11-07 12:40:00
214,567,1085,20,Carrier A (DCO),206.76,12,2025-01-08 14:03:00
215,568,1087,17,Carrier A (DCO),134.73,6,2025-11-23 15:30:00
216,569,1089,26,Carrier B (DCO),193.27,6,2025-07-21 18:41:00
217,575,1102,5,In-House Agency,272.93,6,2025-07-03 09:28:00
218,578,1106,58,Carrier B (DCO),138.11,6,2025-03-06 11:31:00
219,580,1110,13,Carrier A (DCO),178.23,6,2025-10-10 09:28:00
220,582,1113,5,Carrier A (DCO),309.59,6,2025-02-14 18:04:00
221,587,1119,25,In-House Agency,160.61,12,2025-08-16 12:51:00
222,591,1126,31,In-House Agency,162.52,12,2025-12-01 15:08:00
223,593,1129,2,In-House Agency,190.42,12,2025-12-19 18:26:00
224,595,1136,52,In-House Agency,158.01,6,2025-02-02 15:20:00
225,599,1141,48,Carrier A (DCO),205.7,12,2025-02-27 10:25:00
226,603,1148,14,Carrier A (DCO),156.89,12,2025-08-12 12:38:00
227,605,1158,15,Carrier B (DCO),123.34,6,2025-12-22 08:27:00
228,607,1160,31,Carrier B (DCO),266.3,12,2025-10-09 09:14:00
229,608,1161,8,Carrier B (DCO),300.61,6,2025-06-04 15:53:00
230,612,1168,16,Carrier A (DCO),128.74,6,2025-01-13 12:47:00
231,613,1169,8,In-House Agency,250.25,6,2025-07-21 09:47:00
232,614,1170,38,Carrier B (DCO),153.92,12,2025-07-30 14:18:00
233,621,1184,13,Carrier A (DCO),170.35,6,2025-03-01 11:17:00
234,622,1185,19,In-House Agency,211.32,6,2025-08-11 19:13:00
235,627,1193,40,In-House Agency,136.9,12,2025-10-21 16:58:00
236,629,1195,53,In-House Agency,283.11,6,2025-01-24 17:57:00
237,630,1199,58,Carrier B (DCO),184.52,6,2025-06-20 19:17:00
238,631,1200,6,In-House Agency,255.57,6,2025-04-05 13:29:00
239,633,1205,27,Carrier B (DCO),114.87,12,2025-05-09 18:43:00
240,635,1208,18,In-House Agency,236.54,12,2025-02-25 13:36:00
241,639,1218,1,Carrier B (DCO),238.71,12,2025-09-04 10:20:00
242,640,1221,2,In-House Agency,223.82,6,2025-04-27 15:12:00
243,645,1229,3,Carrier B (DCO),240.12,12,2025-03-11 14:01:00
244,649,1237,3,Carrier A (DCO),263.14,12,2025-11-14 09:14:00
245,651,1241,17,Carrier A (DCO),139.62,12,2025-08-02 18:29:00
246,652,1242,2,Carrier B (DCO),214.63,6,2025-03-29 14:38:00
247,653,1243,55,In-House Agency,305.46,12,2025-03-09 17:17:00
248,654,1245,33,Carrier A (DCO),293.64,12,2025-10-13 15:41:00
249,656,1247,6,In-House Agency,196.46,12,2025-11-16 16:32:00
250,661,1256,30,In-House Agency,150.45,6,2025-09-14 16:18:00
251,667,1266,45,Carrier B (DCO),213.67,6,2025-12-05 16:19:00
252,670,1270,1,In-House Agency,156.01,6,2025-05-20 13:17:00
253,673,1276,21,Carrier B (DCO),295.88,12,2025-09-29 19:20:00
254,674,1278,4,Carrier A (DCO),139.85,6,2025-08-08 13:27:00
255,675,1279,51,Carrier B (DCO),279.13,12,2025-07-24 19:37:00
256,679,1284,55,Carrier B (DCO),166.6,6,2025-07-16 10:07:00
257,681,1286,56,In-House Agency,114.81,6,2025-06-19 17:59:00
258,682,1289,22,Carrier B (DCO),96.37,12,2025-08-30 10:16:00
259,685,1294,29,Carrier B (DCO),180.82,6,2025-03-09 10:32:00
260,686,1296,48,In-House Agency,172.37,6,2025-11-13 08:24:00
261,687,1300,58,Carrier A (DCO),125.15,6,2025-06-28 19:42:00
262,688,1301,19,Carrier A (DCO),254.52,6,2025-07-15 08:31:00
263,692,1306,31,Carrier A (DCO),143.49,12,2025-09-17 17:06:00
264,694,1314,32,Carrier B (DCO),186.7,12,2025-10-12 09:07:00
265,695,1318,37,Carrier A (DCO),175.51,6,2025-10-13 19:09:00
266,696,1319,35,Carrier B (DCO),287.16,6,2025-11-17 09:16:00
267,703,1334,3,Carrier A (DCO),100.19,6,2025-08-03 19:29:00
268,707,1343,48,Carrier A (DCO),212.82,6,2025-06-03 11:56:00
269,709,1346,57,Carrier B (DCO),211.18,6,2025-07-22 09:58:00
270,712,1354,38,Carrier A (DCO),305.65,12,2025-03-14 19:07:00
271,713,1355,22,Carrier B (DCO),244.73,12,2025-02-19 13:11:00
272,715,1358,7,Carrier A (DCO),267.01,6,2025-03-31 11:40:00
273,716,1361,12,Carrier A (DCO),268.55,6,2025-09-26 17:33:00
274,718,1363,8,Carrier A (DCO),265.72,6,2025-12-19 16:05:00
275,719,1364,43,In-House Agency,233.29,12,2025-12-08 18:27:00
276,723,1370,32,Carrier A (DCO),293.73,6,2025-04-26 14:52:00
277,725,1374,3,Carrier B (DCO),109.3,12,2025-08-23 12:34:00
278,733,1389,27,In-House Agency,180.76,6,2025-08-07 17:12:00
279,734,1391,27,Carrier B (DCO),159.57,12,2025-07-19 16:56:00
280,738,1395,21,Carrier B (DCO),220.44,12,2025-07-08 12:06:00
281,741,1399,29,Carrier B (DCO),109.81,6,2025-01-17 09:59:00
282,742,1403,58,Carrier B (DCO),191.52,12,2025-01-25 18:05:00
283,743,1407,9,In-House Agency,113.23,6,2025-07-08 08:51:00
284,745,1410,41,Carrier A (DCO),134.9,6,2025-07-04 11:03:00
285,755,1433,47,Carrier B (DCO),148.02,12,2025-05-26 16:09:00
286,756,1434,51,Carrier A (DCO),300.91,6,2025-05-25 16:51:00
287,760,1441,9,Carrier A (DCO),114.75,12,2025-09-23 09:31:00
288,764,1447,26,Carrier B (DCO),204.84,12,2025-05-02 13:12:00
289,765,1448,21,In-House Agency,205.04,12,2025-05-19 09:47:00
290,772,1461,36,Carrier B (DCO),193.1,12,2025-09-22 19:35:00
291,777,1472,53,Carrier A (DCO),134.93,6,2025-04-25 14:22:00
292,783,1481,28,Carrier B (DCO),261.78,6,2025-03-04 12:11:00
293,786,1484,3,Carrier B (DCO),197.04,6,2025-05-30 08:10:00
294,794,1498,56,Carrier B (DCO),304.05,12,2025-06-08 12:16:00
295,796,1503,30,In-House Agency,306.53,12,2025-10-10 15:59:00
296,803,1513,57,In-House Agency,139.18,12,2025-10-09 10:50:00
297,805,1519,52,Carrier A (DCO),114.86,12,2025-04-17 15:09:00
298,806,1520,19,Carrier A (DCO),144.84,6,2025-03-28 12:35:00
299,807,1521,31,Carrier B (DCO),270.72,12,2025-08-12 19:11:00
300,811,1527,49,Carrier A (DCO),110.78,12,2025-05-18 14:24:00
301,816,1533,36,Carrier B (DCO),166.82,12,2025-05-27 13:03:00
302,820,1542,52,Carrier B (DCO),202.26,12,2025-11-14 12:06:00
303,822,1546,10,Carrier B (DCO),294.48,6,2025-08-10 12:15:00
304,825,1552,40,Carrier A (DCO),233.34,6,2025-10-08 19:18:00
305,827,1554,52,Carrier A (DCO),112.08,12,2025-05-03 10:09:00
306,829,1556,36,Carrier B (DCO),136.17,12,2025-11-02 10:52:00
307,830,1557,32,In-House Agency,302.84,6,2025-09-06 08:55:00
308,836,1568,36,In-House Agency,138.06,6,2025-06-11 15:01:00
309,839,1574,59,In-House Agency,136.75,12,2025-11-25 09:51:00
310,840,1577,25,Carrier B (DCO),98.68,12,2025-06-23 19:53:00
311,850,1594,48,In-House Agency,95.61,12,2025-01-24 09:21:00
312,855,1600,9,Carrier A (DCO),152.55,12,2025-01-11 18:33:00
313,862,1613,2,Carrier A (DCO),253.56,6,2025-02-23 10:18:00
314,868,1625,45,In-House Agency,112.23,12,2025-12-01 08:02:00
315,871,1629,33,In-House Agency,238.65,6,2025-12-06 10:11:00
316,872,1630,53,Carrier B (DCO),195.47,12,2025-06-11 11:24:00
317,873,1631,23,Carrier B (DCO),216.05,6,2025-11-29 13:23:00
318,880,1641,15,Carrier A (DCO),238.76,12,2025-12-21 16:36:00
319,887,1652,1,Carrier A (DCO),161.91,12,2025-11-22 09:34:00
320,891,1658,24,Carrier A (DCO),163.88,6,2025-07-24 12:57:00
321,894,1662,59,Carrier B (DCO),227.12,12,2025-10-19 19:44:00
322,896,1667,30,Carrier A (DCO),126.59,12,2025-02-27 17:39:00
323,902,1686,19,In-House Agency,122.96,12,2025-07-24 19:40:00
324,904,1690,26,In-House Agency,116.86,6,2025-02-27 14:15:00
325,908,1698,49,Carrier A (DCO),211.86,12,2025-08-14 19:01:00
326,909,1701,34,Carrier A (DCO),133.8,6,2025-03-24 14:43:00
327,915,1713,32,In-House Agency,229.42,6,2025-01-25 18:57:00
328,917,1715,12,Carrier A (DCO),125.18,6,2025-07-01 18:34:00
329,922,1723,18,Carrier B (DCO),118.12,12,2025-01-24 17:56:00
330,925,1729,50,In-House Agency,190.07,12,2025-08-18 16:21:00
331,926,1730,48,Carrier B (DCO),264.34,12,2025-12-13 17:58:00
332,930,1736,42,In-House Agency,131.06,6,2025-08-06 10:45:00
333,939,1749,8,Carrier B (DCO),110.02,12,2025-04-13 16:58:00
334,941,1754,45,Carrier A (DCO),138.43,6,2025-07-16 17:54:00
335,942,1756,14,In-House Agency,256.09,12,2025-10-28 12:41:00
336,943,1757,56,Carrier A (DCO),140.24,6,2025-09-23 14:03:00
337,949,1769,50,Carrier A (DCO),198.05,6,2025-03-27 15:46:00
338,950,1770,47,Carrier B (DCO),209.18,6,2025-02-16 11:44:00
339,951,1771,46,Carrier B (DCO),216.35,6,2025-06-03 13:28:00
340,953,1773,8,In-House Agency,265.39,12,2025-01-29 09:31:00
341,954,1776,22,Carrier A (DCO),194.32,12,2025-02-02 13:33:00
342,955,1778,2,Carrier B (DCO),186.57,6,2025-01-11 09:35:00
343,957,1781,2,In-House Agency,221.7,12,2025-01-26 18:29:00
344,962,1790,17,In-House Agency,194.06,12,2025-03-27 08:53:00
345,966,1796,35,Carrier B (DCO),238.32,6,2025-04-10 12:38:00
346,970,1803,60,Carrier B (DCO),296.14,12,2025-08-17 10:04:00
347,971,1804,29,In-House Agency,258.41,6,2025-01-16 08:32:00
348,975,1810,2,In-House Agency,115.93,12,2025-03-29 12:01:00
349,976,1813,35,Carrier A (DCO),115.83,6,2025-12-01 11:53:00
350,980,1818,4,Carrier B (DCO),304.81,12,2025-05-07 13:23:00
351,983,1823,20,Carrier B (DCO),150.49,6,2025-06-16 14:21:00
352,984,1826,8,Carrier B (DCO),161.78,12,2025-04-06 08:06:00
353,987,1831,5,In-House Agency,258.34,12,2025-03-23 16:03:00
354,988,1835,28,Carrier A (DCO),276.78,6,2025-05-15 19:28:00
355,989,1838,42,In-House Agency,176.59,12,2025-12-06 19:00:00
356,990,1839,42,Carrier A (DCO),149.81,6,2025-10-12 13:46:00
357,992,1841,7,Carrier A (DCO),276.15,12,2025-09-29 12:16:00
358,998,1849,11,In-House Agency,293.69,6,2025-10-23 10:14:00
359,1000,1851,43,Carrier A (DCO),175.12,12,2025-10-18 13:41:00
360,1002,1856,3,Carrier A (DCO),289.57,6,2025-08-13 19:53:00
361,1003,1857,58,In-House Agency,152.81,6,2025-05-09 13:49:00
362,1004,1858,36,In-House Agency,217.01,12,2025-04-23 08:33:00
363,1012,1871,59,In-House Agency,235.17,12,2025-10-21 11:05:00
364,1014,1877,1,In-House Agency,247.95,6,2025-09-17 17:33:00
365,1018,1884,17,Carrier B (DCO),293.04,6,2025-06-06 13:21:00
366,1019,1885,4,Carrier B (DCO),170.77,6,2025-08-30 19:52:00
367,1021,1887,7,Carrier A (DCO),224.22,12,2025-05-07 18:24:00
368,1022,1891,37,Carrier A (DCO),167.51,12,2025-07-09 15:40:00
369,1024,1893,4,In-House Agency,256.46,12,2025-07-08 18:39:00
370,1025,1894,14,Carrier A (DCO),296.6,12,2025-06-16 09:04:00
371,1026,1895,35,In-House Agency,286.76,12,2025-06-10 18:36:00
372,1027,1896,22,In-House Agency,297.22,12,2025-03-29 16:03:00
373,1028,1901,55,Carrier A (DCO),201.04,6,2025-03-28 12:06:00
374,1030,1908,37,In-House Agency,260.78,6,2025-10-20 14:42:00
375,1031,1909,52,Carrier A (DCO),150.0,6,2025-04-12 08:58:00
376,1034,1917,58,Carrier A (DCO),131.15,6,2025-04-05 17:18:00
377,1035,1919,4,In-House Agency,279.95,6,2025-05-16 19:00:00
378,1038,1928,48,Carrier A (DCO),296.86,12,2025-10-05 14:35:00
379,1039,1930,3,Carrier B (DCO),172.76,12,2025-07-23 18:02:00
380,1040,1933,11,Carrier A (DCO),158.54,6,2025-08-27 19:21:00
